Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,name_length,address_length
216,33,156,-84.9523921,34.4972488,168,25,0,0,2,4.4,207,21,32
216,33,182,-84.767911,34.752476,1231,10,0,0,1,3.9,66,27,39
216,33,266,-84.969393,34.769686,169,10,0,0,1,4.9,249,12,40
216,33,266,-85.0039,34.7643,6,25,0,0,2,3.8,63,19,32
216,33,266,-84.992342,34.759551,1126,40,0,0,3,3.8,145,24,35
216,33,266,-84.992924,34.759665,1212,10,0,0,1,3.8,83,10,35
216,33,266,-84.999678,34.758645,1031,25,0,0,2,3.7,116,33,31
216,33,266,-84.9678,34.7742,29,10,0,0,1,4.1,122,15,35
216,33,266,-84.990925,34.759273,828,10,0,0,1,4.1,142,27,37
216,33,266,-84.9964,34.7604,1212,10,0,0,1,4.1,114,10,41
216,33,333,-85.2229101,34.9428786,81,25,0,0,2,4.6,214,20,48
216,33,333,-85.246237,34.9528157,1111,10,0,0,1,4.3,116,12,51
216,33,333,-85.2545,34.9546,1795,25,0,0,2,4.2,111,11,47
216,33,558,-85.294955,34.705093,785,10,0,0,1,3.7,25,21,37
216,33,850,-85.1321,34.9273,168,10,0,0,1,4.1,128,18,35
216,33,850,-85.130492,34.912109,50,10,0,0,1,4.3,244,12,40
216,33,850,-85.1079396,34.9151853,15,10,0,0,1,4.2,112,16,37
216,33,853,-85.249727,34.851907,1098,10,0,0,1,4.1,144,21,51
216,34,117,-90.496986,41.574935,1005,25,0,0,2,4.6,166,15,38
216,34,117,-90.522479,41.53845,1785,40,0,0,3,4.5,208,29,35
216,34,117,-90.4912446,41.5747801,321,25,0,0,2,3.9,136,22,37
216,34,117,-90.504176,41.548746,25,10,0,0,1,4.0,85,21,37
216,34,117,-90.50709,41.525384,1031,25,0,0,2,4.1,117,18,35
216,34,269,-90.574088,41.593892,21,25,0,0,2,3.4,53,33,34
216,34,269,-90.565837,41.574459,115,25,0,0,2,4.9,474,19,37
216,34,269,-90.5716,41.5604,828,10,0,0,1,3.9,125,11,38
216,34,269,-90.5737,41.5223,61,70,0,0,4,3.7,201,16,33
216,34,269,-90.59466452,41.52253634,19,25,0,0,2,0.0,2,11,27
216,34,269,-90.5154313,41.5709434,1212,25,0,0,2,0.0,3,10,40
216,34,269,-90.5683,41.5699,1212,0,0,0,1,4.3,167,6,42
216,34,269,-90.5321,41.5749,497,25,0,0,2,4.0,112,10,35
216,34,269,-90.5432,41.5747,1795,25,0,0,2,4.1,256,22,35
216,34,269,-90.572418,41.520389,6,10,0,0,1,4.3,123,20,35
216,34,269,-90.5137,41.5745,6,25,0,0,2,4.0,199,27,40
216,34,269,-90.5686,41.559,1212,25,0,0,2,4.1,157,10,36
216,34,269,-90.6136,41.5944,6,25,0,0,2,4.1,100,23,40
216,34,269,-90.515175,41.570997,1126,40,0,0,3,4.2,141,5,40
216,34,269,-90.517,41.5747,16,25,0,0,2,4.2,197,15,39
216,36,46,-93.610084,42.010254,170,25,0,0,2,4.5,1025,12,31
216,36,46,-93.643094,42.048779,41,25,0,0,2,4.9,570,8,36
216,36,109,-93.677638,41.614965,172,40,0,0,3,4.5,674,12,37
